ID,fertilizer_price_index_all,fertilizer_price_index_nitrogen,fertilizer_price_index_phosphate,type
1878-01,1,8.095813683,1,predicted
1878-02,1,8.100347777,1,predicted
1878-03,1,8.104881871,1,predicted
1878-04,1,8.109415964,1,predicted
1878-05,1,8.113950058,1,predicted
1878-06,1,8.118484152,1,predicted
1878-07,1,8.123018245,1,predicted
1878-08,1,8.127552339,1,predicted
1878-09,1,8.132086433,1,predicted
1878-10,1,8.136620527,1,predicted
1878-11,1,8.14115462,1,predicted
1878-12,1,8.145688714,1,predicted
1879-01,1,8.150222808,1,predicted
1879-02,1,8.154756901,1,predicted
1879-03,1,8.159290995,1,predicted
1879-04,1,8.163825089,1,predicted
1879-05,1,8.168359183,1,predicted
1879-06,1,8.172893276,1,predicted
1879-07,1,8.17742737,1,predicted
1879-08,1,8.181961464,1,predicted
1879-09,1,8.186495557,1,predicted
1879-10,1,8.191029651,1,predicted
1879-11,1,8.195563745,1,predicted
1879-12,1,8.200097839,1,predicted
1880-01,1,8.204631932,1,predicted
1880-02,1,8.209166026,1,predicted
1880-03,1,8.21370012,1,predicted
1880-04,1,8.218234213,1,predicted
1880-05,1,8.222768307,1,predicted
1880-06,1,8.227302401,1,predicted
1880-07,1,8.231836495,1,predicted
1880-08,1,8.236370588,1,predicted
1880-09,1,8.240904682,1,predicted
1880-10,1,8.245438776,1,predicted
1880-11,1,8.249972869,1,predicted
1880-12,1,8.254506963,1,predicted
1881-01,1,8.259041057,1,predicted
1881-02,1,8.263575151,1,predicted
1881-03,1,8.268109244,1,predicted
1881-04,1,8.272643338,1,predicted
1881-05,1,8.277177432,1,predicted
1881-06,1,8.281711525,1,predicted
1881-07,1,8.286245619,1,predicted
1881-08,1,8.290779713,1,predicted
1881-09,1,8.295313807,1,predicted
1881-10,1,8.2998479,1,predicted
1881-11,1,8.304381994,1,predicted
1881-12,1,8.308916088,1,predicted
1882-01,1,8.313450181,1,predicted
1882-02,1,8.317984275,1,predicted
1882-03,1,8.322518369,1,predicted
1882-04,1,8.327052463,1,predicted
1882-05,1,8.331586556,1,predicted
1882-06,1,8.33612065,1,predicted
1882-07,1,8.340654744,1,predicted
1882-08,1,8.345188837,1,predicted
1882-09,1,8.349722931,1,predicted
1882-10,1,8.354257025,1,predicted
1882-11,1,8.358791119,1,predicted
1882-12,1,8.363325212,1,predicted
1883-01,1,8.367859306,1,predicted
1883-02,1,8.3723934,1,predicted
1883-03,1,8.376927493,1,predicted
1883-04,1,8.381461587,1,predicted
1883-05,1,8.385995681,1,predicted
1883-06,1,8.390529775,1,predicted
1883-07,1,8.395063868,1,predicted
1883-08,1,8.399597962,1,predicted
1883-09,1,8.404132056,1,predicted
1883-10,1,8.408666149,1,predicted
1883-11,1,8.413200243,1,predicted
1883-12,1,8.417734337,1,predicted
1884-01,1,8.422268431,1,predicted
1884-02,1,8.426802524,1,predicted
1884-03,1,8.431336618,1,predicted
1884-04,1,8.435870712,1,predicted
1884-05,1,8.440404805,1,predicted
1884-06,1,8.444938899,1,predicted
1884-07,1,8.449472993,1,predicted
1884-08,1,8.454007087,1,predicted
1884-09,1,8.45854118,1,predicted
1884-10,1,8.463075274,1,predicted
1884-11,1,8.467609368,1,predicted
1884-12,1,8.472143461,1,predicted
1885-01,1,8.476677555,1,predicted
1885-02,1,8.481211649,1,predicted
1885-03,1,8.485745743,1,predicted
1885-04,1,8.490279836,1,predicted
1885-05,1,8.49481393,1,predicted
1885-06,1,8.499348024,1,predicted
1885-07,1,8.503882117,1,predicted
1885-08,1,8.508416211,1,predicted
1885-09,1,8.512950305,1,predicted
1885-10,1,8.517484399,1,predicted
1885-11,1,8.522018492,1,predicted
1885-12,1,8.526552586,1,predicted
1886-01,1,8.53108668,1,predicted
1886-02,1,8.535620773,1,predicted
1886-03,1,8.540154867,1,predicted
1886-04,1,8.544688961,1,predicted
1886-05,1,8.549223055,1,predicted
1886-06,1,8.553757148,1,predicted
1886-07,1,8.558291242,1,predicted
1886-08,1,8.562825336,1,predicted
1886-09,1,8.567359429,1,predicted
1886-10,1,8.571893523,1,predicted
1886-11,1,8.576427617,1,predicted
1886-12,1,8.580961711,1,predicted
1887-01,1,8.585495804,1,predicted
1887-02,1,8.590029898,1,predicted
1887-03,1,8.594563992,1,predicted
1887-04,1,8.599098085,1,predicted
1887-05,1,8.603632179,1,predicted
1887-06,1,8.608166273,1,predicted
1887-07,1,8.612700367,1,predicted
1887-08,1,8.61723446,1,predicted
1887-09,1,8.621768554,1,predicted
1887-10,1,8.626302648,1,predicted
1887-11,1,8.630836741,1,predicted
1887-12,1,8.635370835,1,predicted
1888-01,1,8.639904929,1,predicted
1888-02,1,8.644439023,1,predicted
1888-03,1,8.648973116,1,predicted
1888-04,1,8.65350721,1,predicted
1888-05,1,8.658041304,1,predicted
1888-06,1,8.662575397,1,predicted
1888-07,1,8.667109491,1,predicted
1888-08,1,8.671643585,1,predicted
1888-09,1,8.676177679,1,predicted
1888-10,1,8.680711772,1,predicted
1888-11,1,8.685245866,1,predicted
1888-12,1,8.68977996,1,predicted
1889-01,1,8.694314053,1,predicted
1889-02,1,8.698848147,1,predicted
1889-03,1,8.703382241,1,predicted
1889-04,1,8.707916335,1,predicted
1889-05,1,8.712450428,1,predicted
1889-06,1,8.716984522,1,predicted
1889-07,1,8.721518616,1,predicted
1889-08,1,8.726052709,1,predicted
1889-09,1,8.730586803,1,predicted
1889-10,1,8.735120897,1,predicted
1889-11,1,8.739654991,1,predicted
1889-12,1,8.744189084,1,predicted
1890-01,1,8.748723178,1,predicted
1890-02,1.004291149,8.753257272,1,predicted
1890-03,1.018436099,8.757791365,1,predicted
1890-04,1.032581049,8.762325459,1,predicted
1890-05,1.046725998,8.766859553,1,predicted
1890-06,1.060870948,8.771393647,1,predicted
1890-07,1.075015898,8.77592774,1,predicted
1890-08,1.089160847,8.780461834,1,predicted
1890-09,1.103305797,8.784995928,1,predicted
1890-10,1.117450746,8.789530021,1,predicted
1890-11,1.131595696,8.794064115,1,predicted
1890-12,1.145740646,8.798598209,1,predicted
1891-01,1.159885595,8.803132303,1,predicted
1891-02,1.174030545,8.807666396,1,predicted
1891-03,1.188175495,8.81220049,1,predicted
1891-04,1.202320444,8.816734584,1,predicted
1891-05,1.216465394,8.821268677,1,predicted
1891-06,1.230610343,8.825802771,1,predicted
1891-07,1.244755293,8.830336865,1,predicted
1891-08,1.258900243,8.834870959,1,predicted
1891-09,1.273045192,8.839405052,1,predicted
1891-10,1.287190142,8.843939146,1,predicted
1891-11,1.301335092,8.84847324,1,predicted
1891-12,1.315480041,8.853007333,1,predicted
1892-01,1.329624991,8.857541427,1,predicted
1892-02,1.343769941,8.862075521,1,predicted
1892-03,1.35791489,8.866609615,1,predicted
1892-04,1.37205984,8.871143708,1,predicted
1892-05,1.386204789,8.875677802,1,predicted
1892-06,1.400349739,8.880211896,1,predicted
1892-07,1.414494689,8.884745989,1,predicted
1892-08,1.428639638,8.889280083,1,predicted
1892-09,1.442784588,8.893814177,1,predicted
1892-10,1.456929538,8.898348271,1,predicted
1892-11,1.471074487,8.902882364,1,predicted
1892-12,1.485219437,8.907416458,1,predicted
1893-01,1.499364386,8.911950552,1,predicted
1893-02,1.513509336,8.916484645,1,predicted
1893-03,1.527654286,8.921018739,1,predicted
1893-04,1.541799235,8.925552833,1,predicted
1893-05,1.555944185,8.930086927,1,predicted
1893-06,1.570089135,8.93462102,1,predicted
1893-07,1.584234084,8.939155114,1,predicted
1893-08,1.598379034,8.943689208,1,predicted
1893-09,1.612523983,8.948223301,1,predicted
1893-10,1.626668933,8.952757395,1,predicted
1893-11,1.640813883,8.957291489,1,predicted
1893-12,1.654958832,8.961825583,1,predicted
1894-01,1.669103782,8.966359676,1,predicted
1894-02,1.683248732,8.97089377,1,predicted
1894-03,1.697393681,8.975427864,1,predicted
1894-04,1.711538631,8.979961957,1,predicted
1894-05,1.72568358,8.984496051,1,predicted
1894-06,1.73982853,8.989030145,1,predicted
1894-07,1.75397348,8.993564239,1,predicted
1894-08,1.768118429,8.998098332,1,predicted
1894-09,1.782263379,9.002632426,1,predicted
1894-10,1.796408329,9.00716652,1,predicted
1894-11,1.810553278,9.011700613,1,predicted
1894-12,1.824698228,9.016234707,1,predicted
1895-01,1.838843177,9.020768801,1,predicted
1895-02,1.852988127,9.025302895,1,predicted
1895-03,1.867133077,9.029836988,1,predicted
1895-04,1.881278026,9.034371082,1,predicted
1895-05,1.895422976,9.038905176,1,predicted
1895-06,1.909567926,9.043439269,1,predicted
