SVM,REG
"(160.5710060929299, 179.3492509423559, 223.46539692157094, 242.53369393673697, 288.3345637541724, 313.4019183609367, 352.0564491904322, 320.1568265801323, 252.1268305050812, 215.44890652500038, 156.48859054047864, 139.76557605985187)","(169.8687415025889, 171.23617889472015, 227.07145547884892, 245.87247569652357, 290.66274585255894, 321.66615230178576, 355.6115349054278, 334.90601308513266, 271.23072214786373, 219.79776416822233, 147.67714205205874, 150.29739741467364)"
"(160.47197896070145, 179.38694408083063, 223.40543092060818, 242.57797370603743, 288.15545910251046, 313.18321903515005, 352.0196013735682, 319.99667647386053, 252.0324217158597, 215.46022788073253, 156.49116436609535, 139.63884726089356)","(170.02908712267973, 171.1097751928428, 227.1563327286816, 245.91704404564825, 290.7930511429679, 321.86813004121024, 355.7359453700116, 335.2651970694939, 271.5549166989539, 219.87120108485084, 147.55455434820894, 150.46950327568595)"
"(160.37660745898324, 179.42773910184346, 223.34930194771619, 242.61894902665827, 287.97451063021794, 312.965060310482, 351.98191374390564, 319.84120427870863, 251.94233124109698, 215.4752839551799, 156.49835274547817, 139.51370519276645)","(170.1894327427706, 170.98337149096542, 227.2412099785143, 245.961612394773, 290.92335643337685, 322.0701077806347, 355.86035583459545, 335.6243810538552, 271.87911125004405, 219.94463800147935, 147.43196664435914, 150.6416091366982)"
"(160.2852169315568, 179.471160550653, 223.29698273337343, 242.65667395531915, 287.7930906836754, 312.7489887905732, 351.9436443844554, 319.69088186210456, 251.85675333910973, 215.4934493803303, 156.50949398042854, 139.3907202910241)","(170.34977836286149, 170.8569677890881, 227.326087228347, 246.00618074389772, 291.0536617237857, 322.2720855200592, 355.98476629917934, 335.98356503821634, 272.2033058011341, 220.01807491810786, 147.3093789405093, 150.81371499771052)"
"(160.19806149470264, 179.51672600346893, 223.24841366191268, 242.69122746573368, 287.6124823495381, 312.53639974270493, 351.90504898034783, 319.5461097850606, 251.77582570773177, 215.51413472538005, 156.5239543053086, 139.27041426725634)","(170.51012398295236, 170.73056408721072, 227.4109644781797, 246.05074909302243, 291.18396701419465, 322.47406325948367, 356.1091767637632, 336.3427490225776, 272.52750035222425, 220.09151183473637, 147.1867912366595, 150.98582085872283)"
"(160.11532821501194, 179.56395454855675, 223.2035067659882, 242.72271040271553, 287.4338693538059, 312.3285329644851, 351.8663767952374, 319.40721853735914, 251.69963233415308, 215.53679045433063, 156.54113419725607, 139.15325734163108)","(170.67046960304324, 170.60416038533336, 227.49584172801238, 246.09531744214718, 291.3142723046036, 322.6760409989081, 356.233587228347, 336.7019330069389, 272.8516949033144, 220.16494875136488, 147.0642035328097, 151.1579267197351)"
"(160.0371418455215, 179.61237454453658, 223.16214974434436, 242.7512423478325, 287.25832828019935, 312.12647130058957, 351.8278670995686, 319.27447048133496, 251.628206961994, 215.56090987345362, 156.560473349683, 139.03966627260817)","(170.83081522313412, 170.47775668345602, 227.58071897784507, 246.13988579127187, 291.44457759501256, 322.87801873833257, 356.3579976929309, 337.06111699130014, 273.17588945440457, 220.23838566799338, 146.94161582895987, 151.3300325807474)"
"(159.963569977904, 179.6615305521212, 223.12420992698762, 242.77695846285408, 287.0868230679025, 311.9311415994172, 351.7897460800761, 319.14806243109877, 251.56153705353415, 215.5860311158316, 156.5814543714632, 138.93000318092416)","(170.991160843225, 170.35135298157866, 227.66559622767778, 246.1844541403966, 291.5748828854215, 323.07999647775705, 356.48240815751467, 337.4203009756614, 273.5000840054946, 220.3118225846219, 146.81902812511007, 151.5021384417597)"
"(159.89462847558306, 179.71098936423064, 223.08953812103164, 242.80000637206976, 286.92020170495687, 311.7433178713854, 351.7522242475609, 319.02812878977517, 251.49956812556997, 215.61173822459932, 156.60360529360867, 138.82457514939355)","(171.15150646331588, 170.2249492797013, 227.75047347751047, 246.22902248952133, 291.70518817583036, 323.2819742171815, 356.60681862209856, 337.77948496002256, 273.8242785565848, 220.3852595012504, 146.69644042126026, 151.67424430277197)"
"(159.83028706205488, 179.7603450875146, 223.05797228026583, 242.82054313833083, 286.75919499523707, 311.5636263900615, 351.71549434826727, 318.91474516440064, 251.4422083408459, 215.637661408286, 156.6265009805362, 138.7236345656086)","(171.31185208340676, 170.09854557782396, 227.83535072734315, 246.27359083864604, 291.8354934662393, 323.48395195660595, 356.73122908668245, 338.1386689443838, 274.14847310767493, 220.4586964178789, 146.57385271741043, 151.84635016378428)"
