DULUTH,NEW ORLEANS,SHREVEPORT,mean_col
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(167, 226, 183, 279, 279, 306, 260, 168, 215, 222, 113, 172, 2589)","(172, 234, 204, 265, 334, 267, 290, 235, 232, 230, 118, 171, 2751)","(169.5, 230.0, 193.5, 272.0, 306.5, 286.5, 275.0, 201.5, 223.5, 226.0, 115.5, 171.5)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(94, 151, 216, 269, 252, 260, 234, 223, 180, 267, 196, 227, 2570)","(107, 174, 237, 280, 273, 318, 345, 291, 182, 289, 119, 137, 2752)","(100.5, 162.5, 226.5, 274.5, 262.5, 289.0, 289.5, 257.0, 181.0, 278.0, 157.5, 182.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(186, 130, 249, 178, 248, 260, 206, 224, 173, 283, 216, 174, 2527)","(99, 110, 187, 186, 243, 295, 256, 307, 277, 252, 225, 171, 2608)","(142.5, 120.0, 218.0, 182.0, 245.5, 277.5, 231.0, 265.5, 225.0, 267.5, 220.5, 172.5)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(118, 132, 155, 223, 226, 333, 312, 335, 242, 275, 156, 216, 2722)","(80, 175, 191, 244, 213, 337, 377, 287, 189, 228, 166, 155, 2642)","(99.0, 153.5, 173.0, 233.5, 219.5, 335.0, 344.5, 311.0, 215.5, 251.5, 161.0, 185.5)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(216, 142, 213, 193, 250, 291, 325, 254, 265, 194, 188, 192, 2724)","(189, 158, 227, 173, 199, 239, 269, 214, 261, 132, 157, 192, 2410)","(202.5, 150.0, 220.0, 183.0, 224.5, 265.0, 297.0, 234.0, 263.0, 163.0, 172.5, 192.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(192, 145, 192, 206, 261, 257, 264, 260, 265, 233, 140, 125, 2538)","(182, 121, 179, 141, 208, 275, 322, 351, 296, 204, 151, 172, 2602)","(187.0, 133.0, 185.5, 173.5, 234.5, 266.0, 293.0, 305.5, 280.5, 218.5, 145.5, 148.5)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(145, 121, 254, 252, 284, 260, 301, 282, 257, 213, 167, 139, 2675)","(137, 145, 247, 205, 200, 292, 300, 347, 301, 213, 191, 136, 2715)","(141.0, 133.0, 250.5, 228.5, 242.0, 276.0, 300.5, 314.5, 279.0, 213.0, 179.0, 137.5)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(145, 186, 257, 286, 323, 292, 280, 222, 255, 206, 175, 121, 2746)","(179, 216, 203, 229, 281, 302, 307, 251, 239, 109, 155, 154, 2624)","(162.0, 201.0, 230.0, 257.5, 302.0, 297.0, 293.5, 236.5, 247.0, 157.5, 165.0, 137.5)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(142, 131, 226, 274, 313, 277, 240, 286, 244, 166, 176, 184, 2659)","(181, 182, 249, 308, 253, 341, 356, 371, 293, 187, 151, 196, 3068)","(161.5, 156.5, 237.5, 291.0, 283.0, 309.0, 298.0, 328.5, 268.5, 176.5, 163.5, 190.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(184, 152, 286, 294, 296, 269, 318, 274, 262, 223, 99, 114, 2771)","(232, 197, 323, 284, 343, 290, 395, 363, 304, 254, 81, 134, 3200)","(208.0, 174.5, 304.5, 289.0, 319.5, 279.5, 356.5, 318.5, 283.0, 238.5, 90.0, 124.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(162, 134, 252, 332, 351, 277, 309, 278, 262, 298, 179, 117, 2951)","(197, 169, 279, 343, 278, 315, 352, 388, 326, 296, 211, 149, 3303)","(179.5, 151.5, 265.5, 337.5, 314.5, 296.0, 330.5, 333.0, 294.0, 297.0, 195.0, 133.0)"
