DULUTH,NEW ORLEANS,SHREVEPORT,mean_col
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(124, 183, 154, 271, 264, 250, 220, 208, 198, 298, 259, 150, 2579)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(124.0, 183.0, 154.0, 271.0, 264.0, 250.0, 220.0, 208.0, 198.0, 298.0, 259.0, 150.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(186, 135, 207, 186, 305, 263, 237, 166, 206, 164, 188, 127, 2370)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(186.0, 135.0, 207.0, 186.0, 305.0, 263.0, 237.0, 166.0, 206.0, 164.0, 188.0, 127.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(146, 152, 244, 248, 216, 184, 231, 176, 182, 194, 170, 174, 2317)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(146.0, 152.0, 244.0, 248.0, 216.0, 184.0, 231.0, 176.0, 182.0, 194.0, 170.0, 174.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(130, 178, 186, 229, 274, 280, 224, 158, 244, 202, 195, 126, 2426)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(130.0, 178.0, 186.0, 229.0, 274.0, 280.0, 224.0, 158.0, 244.0, 202.0, 195.0, 126.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(210, 206, 247, 252, 296, 248, 253, 209, 224, 304, 206, 180, 2835)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(210.0, 206.0, 247.0, 252.0, 296.0, 248.0, 253.0, 209.0, 224.0, 304.0, 206.0, 180.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(116, 153, 229, 238, 230, 242, 269, 287, 259, 245, 194, 174, 2636)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(116.0, 153.0, 229.0, 238.0, 230.0, 242.0, 269.0, 287.0, 259.0, 245.0, 194.0, 174.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(208, 164, 189, 236, 290, 238, 197, 200, 269, 214, 171, 99, 2476)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(208.0, 164.0, 189.0, 236.0, 290.0, 238.0, 197.0, 200.0, 269.0, 214.0, 171.0, 99.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(170, 188, 232, 241, 332, 317, 350, 314, 284, 286, 231, 105, 3051)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(170.0, 188.0, 232.0, 241.0, 332.0, 317.0, 350.0, 314.0, 284.0, 286.0, 231.0, 105.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(197, 176, 263, 319, 335, 277, 273, 283, 258, 211, 195, 159, 2947)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(197.0, 176.0, 263.0, 319.0, 335.0, 277.0, 273.0, 283.0, 258.0, 211.0, 195.0, 159.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(150, 219, 181, 261, 316, 305, 296, 264, 267, 246, 177, 140, 2822)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(150.0, 219.0, 181.0, 261.0, 316.0, 305.0, 296.0, 264.0, 267.0, 246.0, 177.0, 140.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(201, 175, 189, 262, 262, 233, 286, 272, 272, 285, 194, 164, 2795)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(201.0, 175.0, 189.0, 262.0, 262.0, 233.0, 286.0, 272.0, 272.0, 285.0, 194.0, 164.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(135, 125, 203, 244, 326, 296, 262, 268, 212, 242, 223, 160, 2697)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(135.0, 125.0, 203.0, 244.0, 326.0, 296.0, 262.0, 268.0, 212.0, 242.0, 223.0, 160.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(158, 100, 206, 227, 186, 304, 253, 257, 230, 231, 150, 136, 2437)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(158.0, 100.0, 206.0, 227.0, 186.0, 304.0, 253.0, 257.0, 230.0, 231.0, 150.0, 136.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(163, 178, 177, 286, 283, 351, 290, 246, 184, 249, 168, 118, 2694)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(163.0, 178.0, 177.0, 286.0, 283.0, 351.0, 290.0, 246.0, 184.0, 249.0, 168.0, 118.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(141, 188, 211, 242, 302, 329, 317, 301, 310, 265, 207, 127, 2940)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(141.0, 188.0, 211.0, 242.0, 302.0, 329.0, 317.0, 301.0, 310.0, 265.0, 207.0, 127.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(137, 166, 234, 296, 272, 338, 320, 265, 246, 241, 198, 75, 2788)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(137.0, 166.0, 234.0, 296.0, 272.0, 338.0, 320.0, 265.0, 246.0, 241.0, 198.0, 75.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(122, 138, 263, 228, 328, 354, 256, 262, 276, 258, 234, 191, 2908)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(122.0, 138.0, 263.0, 228.0, 328.0, 354.0, 256.0, 262.0, 276.0, 258.0, 234.0, 191.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(155, 191, 248, 243, 252, 299, 263, 242, 233, 261, 206, 184, 2777)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(155.0, 191.0, 248.0, 243.0, 252.0, 299.0, 263.0, 242.0, 233.0, 261.0, 206.0, 184.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(201, 188, 161, 180, 276, 244, 196, 252, 276, 267, 206, 165, 2612)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(201.0, 188.0, 161.0, 180.0, 276.0, 244.0, 196.0, 252.0, 276.0, 267.0, 206.0, 165.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(153, 163, 216, 262, 235, 362, 289, 263, 258, 264, 181, 141, 2788)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(153.0, 163.0, 216.0, 262.0, 235.0, 362.0, 289.0, 263.0, 258.0, 264.0, 181.0, 141.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(104, 136, 220, 300, 350, 263, 299, 261, 246, 223, 192, 153, 2747)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(104.0, 136.0, 220.0, 300.0, 350.0, 263.0, 299.0, 261.0, 246.0, 223.0, 192.0, 153.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(173, 188, 254, 268, 315, 323, 288, 304, 262, 266, 240, 178, 3059)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(173.0, 188.0, 254.0, 268.0, 315.0, 323.0, 288.0, 304.0, 262.0, 266.0, 240.0, 178.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(169, 141, 271, 273, 253, 283, 290, 280, 255, 274, 220, 191, 2900)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(169.0, 141.0, 271.0, 273.0, 253.0, 283.0, 290.0, 280.0, 255.0, 274.0, 220.0, 191.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(169, 147, 220, 231, 342, 244, 244, 270, 288, 291, 171, 127, 2744)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(169.0, 147.0, 220.0, 231.0, 342.0, 244.0, 244.0, 270.0, 288.0, 291.0, 171.0, 127.0)"
