SVM,REG
"(155.68541830708327, 164.31563486537195, 203.72261676328887, 238.11093471174337, 281.97303065456566, 310.58186304574724, 345.15450344878786, 297.294994278522, 240.53508029639457, 205.25318001111992, 145.35458918757368, 129.3354714266697)","(166.03144984326022, 160.84387887006443, 210.05425134725795, 229.28316024444368, 283.3760816808143, 321.0993436300236, 344.88256841956957, 305.92557016307984, 257.9996917156846, 214.62204378148004, 143.73215913493712, 137.3377265682787)"
"(155.55817927177728, 164.3855920448302, 203.72545802075012, 238.16116173640148, 281.9422072696345, 310.5161305798271, 345.2393254163335, 297.3959690622142, 240.46145339565052, 205.36675023829895, 145.48833853645073, 129.33997411946504)","(166.2123040752351, 160.79566623225668, 210.13408703462366, 229.20965948716142, 283.4731786481631, 321.3375278257194, 344.9612292627946, 306.04539537177277, 258.2889346976154, 214.70767118100807, 143.66771080624142, 137.4323089183192)"
"(155.43772854277043, 164.45831214979182, 203.73177158273015, 238.2092258814152, 281.9106209977953, 310.45703014137035, 345.3225140520654, 297.5008111554126, 240.39410335200816, 205.48216871547908, 145.62244774399954, 129.34551414644253)","(166.39315830721003, 160.74745359444893, 210.21392272198938, 229.13615872987918, 283.57027561551195, 321.57571202141526, 345.0398901060195, 306.16522058046564, 258.5781776795463, 214.7932985805361, 143.6032624775457, 137.5268912683597)"
"(155.32413874209718, 164.5331091929881, 203.7411374428418, 238.2550161343717, 281.87855174668783, 310.4042384794372, 345.4037236354803, 297.6083159686947, 240.33271543837938, 205.59834076686644, 145.75578748891272, 129.351913997089)","(166.57401253918496, 160.69924095664118, 210.2937584093551, 229.06265797259695, 283.6673725828607, 321.81389621711105, 345.11855094924454, 306.2850457891585, 258.8674206614772, 214.8789259800641, 143.53881414884998, 137.62147361840022)"
"(155.2174188811187, 164.60931663199156, 203.75313744983393, 238.29845165220223, 281.8462656951015, 310.35740173678215, 345.4826450509638, 297.7173577134481, 240.27696635751016, 205.71426362076505, 145.8873421880512, 129.35900968186633)","(166.7548667711599, 160.65102831883343, 210.3735940967208, 228.98915721531472, 283.7644695502096, 322.0520804128069, 345.1972117924695, 306.4048709978514, 259.1566636434081, 214.96455337959213, 143.47436582015428, 137.7160559684407)"
"(155.11752040488648, 164.6862953940534, 203.7673616933305, 238.33947987256803, 281.8140126206749, 310.3161433461468, 345.5590067607002, 297.82689676149687, 240.22652736373007, 205.8290303829942, 146.01621271510618, 129.3666509234839)","(166.93572100313483, 160.60281568102565, 210.45342978408652, 228.9156564580325, 283.86156651755834, 322.2902646085027, 345.27587263569444, 306.5246962065443, 259.445906625339, 215.05018077912015, 143.40991749145857, 137.8106383184812)"
"(155.02434338666117, 164.7634408474124, 203.78341409671012, 238.37807442181415, 281.78202370666975, 310.2800714990629, 345.6325752946209, 297.9359850772173, 240.18106724413516, 205.94183231052563, 146.1416170102459, 129.37470110840104)","(167.1165752351097, 160.5546030432179, 210.53326547145224, 228.84215570075025, 283.95866348490716, 322.5284488041985, 345.3545334789194, 306.64452141523725, 259.7351496072699, 215.13580817864818, 143.34546916276284, 137.90522066852174)"
"(154.93774276450347, 164.84018866485692, 203.8009171803089, 238.41423287247193, 281.7505098325154, 310.24878608583015, 345.7031552572015, 298.0437697942896, 240.1402551320294, 206.05195948983481, 146.26288877706605, 129.38303704157508)","(167.29742946708464, 160.50639040541014, 210.61310115881793, 228.768654943468, 284.055760452256, 322.76663299989434, 345.43319432214435, 306.7643466239301, 260.0243925892008, 215.22143557817617, 143.28102083406714, 137.99980301856223)"
"(154.85753452173148, 164.91601955401924, 203.81951598159185, 238.44797440041316, 281.7196603415513, 310.2218850270583, 345.77058886309504, 298.1494950394839, 240.10376312799397, 206.1588000455527, 146.37947448329092, 129.39154854412567)","(167.47828369905957, 160.45817776760236, 210.69293684618364, 228.69515418618576, 284.15285741960474, 323.00481719559014, 345.5118551653693, 306.884171832623, 260.31363557113167, 215.3070629777042, 143.21657250537143, 138.09438536860273)"
"(154.78350172388008, 164.99046285583108, 203.83888114025797, 238.47933738826438, 281.6896422692794, 310.1989699387422, 345.8347550247484, 298.25250213130573, 240.07126870714572, 206.26183802187438, 146.49092889474966, 129.4001379296763)","(167.6591379310345, 160.4099651297946, 210.77277253354936, 228.62165342890353, 284.2499543869536, 323.243001391286, 345.5905160085943, 307.00399704131587, 260.60287855306257, 215.3926903772322, 143.1521241766757, 138.18896771864326)"
"(154.7154003362679, 165.06309903719756, 203.85871117504792, 238.50837701770996, 281.66060000663117, 310.1796510936999, 345.89556802497293, 298.3522283017084, 240.04245689487814, 206.36065009174303, 146.59690937855854, 129.40871939089973)","(167.83999216300944, 160.36175249198686, 210.85260822091507, 228.5481526716213, 284.3470513543024, 323.4811855869818, 345.66917685181926, 307.1238222500088, 260.89212153499346, 215.47831777676024, 143.08767584798, 138.28355006868375)"
"(154.6529647580549, 165.1335611258005, 203.8787339950481, 238.5351628889819, 281.63265536540365, 310.16355166182547, 345.9529758157135, 298.4482041043707, 240.0170221975072, 206.45490125711677, 146.69716921171536, 129.41721832345848)","(168.02084639498432, 160.3135398541791, 210.9324439082808, 228.47465191433906, 284.4441483216512, 323.71936978267763, 345.74783769504427, 307.2436474587017, 261.18136451692436, 215.56394517628826, 143.0232275192843, 138.37813241872425)"
"(154.59591302046758, 165.20153515368884, 203.89870770138958, 238.55977670126924, 281.60590800717654, 310.15031122958106, 346.0069579908193, 298.5400496833056, 239.99467027863614, 206.54433970778334, 146.79155012610377, 129.4255706102714)","(168.20170062695925, 160.26532721637136, 211.0122795956465, 228.40115115705683, 284.541245289, 323.9575539783734, 345.8264985382692, 307.3634726673946, 261.47060749885526, 215.64957257581628, 142.95877919058856, 138.47271476876475)"
"(154.54395160841725, 165.26675969173377, 203.91842074538567, 238.58231002309668, 281.58043619271143, 310.13958861514374, 346.0575234853962, 298.62747008103764, 239.97511937655423, 206.6287910064548, 146.8799743109445, 129.4337218849983)","(168.38255485893418, 160.2171145785636, 211.09211528301222, 228.32765039977457, 284.6383422563488, 324.1957381740693, 345.9051593814942, 307.4832978760875, 261.75985048078616, 215.7351999753443, 142.89433086189285, 138.56729711880527)"
"(154.49677987580907, 165.32902456902346, 203.93769151639282, 238.60286217701798, 281.55629780601936, 310.1310640094079, 346.10470805730216, 298.71024976656446, 239.95810146245677, 206.70815176457137, 146.96243607980188, 129.44162678992566)","(168.56340909090912, 160.16890194075586, 211.17195097037794, 228.25414964249234, 284.73543922369765, 324.43392236976507, 345.9838202247191, 307.60312308478035, 262.04909346271705, 215.82082737487232, 142.82988253319715, 138.66187946884577)"
"(154.45409403524903, 165.38816887985064, 203.95636743716125, 238.62153825834022, 281.5335316058895, 310.1244404844786, 346.1485716075918, 298.7882465602307, 239.9433631435778, 206.7823829667606, 147.03899339216218, 129.4492482401254)","(168.74426332288405, 160.1206893029481, 211.25178665774365, 228.1806488852101, 284.8325361910464, 324.67210656546087, 346.0624810679441, 307.7229482934733, 262.33833644464795, 215.90645477440034, 142.76543420450142, 138.75646181888627)"
"(154.4155907124451, 165.4440783862134, 203.97432364636467, 238.63844730311556, 281.51215865758917, 310.1194449203312, 346.18919539633674, 298.8613851259554, 239.93066631934855, 206.85150309267672, 147.10975940014598, 129.45655670289244)","(168.92511755485893, 160.07247666514036, 211.33162234510937, 228.10714812792787, 284.92963315839523, 324.9102907611567, 346.14114191116903, 307.84277350216615, 262.62757942657885, 215.99208217392837, 142.7009858758057, 138.8510441689268)"
"(154.38097006425593, 165.49668242589252, 203.99146134762998, 238.65370061637725, 281.49218389853644, 310.11582840698316, 346.2266792083976, 298.92965019150586, 239.91978860232504, 206.91558117345593, 147.17489416987257, 129.4635294990516)","(169.10597178683386, 160.02426402733258, 211.41145803247508, 228.03364737064564, 285.02673012574405, 325.1484749568525, 346.219802754394, 307.9625987108591, 262.91682240850974, 216.0777095734564, 142.63653754711, 138.9456265189673)"
"(154.349938466984, 165.54595043545118, 204.00770590202188, 238.66741026761576, 281.4735977938523, 310.11336618392374, 346.2611385205934, 298.9930796452534, 239.91052351878983, 206.97472990675925, 147.23459670508487, 129.470150130753)","(169.2868260188088, 159.97605138952483, 211.4912937198408, 227.9601466133634, 285.12382709309287, 325.38665915254836, 346.298463597619, 308.08242391955196, 263.20606539044064, 216.16333697298438, 142.57208921841428, 139.04020886900778)"
"(154.3222107880958, 165.59188819423696, 204.02300473689832, 238.67968775682735, 281.45637804064893, 310.11185718083516, 346.2927017175193, 299.0517576436527, 239.90268050656297, 207.02909893982633, 147.2890973785264, 129.4764076388187)","(169.46768025078373, 159.92783875171705, 211.5711294072065, 227.88664585608115, 285.2209240604417, 325.62484334824416, 346.37712444084394, 308.20224912824483, 263.49530837237154, 216.2489643725124, 142.50764088971857, 139.1347912190483)"
"(154.2975122600661, 165.63453389001288, 204.03732513867075, 238.69064285116588, 281.4404912835305, 310.111123224013, 346.32150739823226, 299.1058078481103, 239.8960847296189, 207.07886841460893, 147.33865085482557, 129.4822959915167)","(169.6485344827586, 159.8796261139093, 211.65096509457223, 227.8131450987989, 285.31802102779045, 325.86302754394, 346.45578528406895, 308.32207433693776, 263.78455135430244, 216.33459177204043, 142.44319256102287, 139.2293735690888)"
