SVM,REG
"(175.22734810672665, 178.69128720623962, 215.24952439231762, 243.82400840532654, 287.53270790051346, 317.0059564199372, 351.5912185432513, 308.59017129814293, 257.69109995225165, 225.35453646776142, 166.76884378469882, 153.3273456688384)","(174.86073553238703, 166.28826582367657, 211.302615265401, 238.4699374801874, 280.63211035187203, 313.3834186009651, 343.3005897995844, 306.364392853369, 258.1654239019407, 223.6726506639428, 158.23515973371843, 156.96038207530557)"
"(175.19916868797102, 178.79588824610627, 215.26773714657045, 243.86701885655015, 287.56522721712616, 316.9550459192201, 351.64995155065435, 308.69348425011543, 257.65617380182624, 225.45795311527107, 166.89113116242632, 153.3800655673045)","(174.8533199781621, 166.09358194498265, 211.1889361945687, 238.40701877355505, 280.57845567257226, 313.3578068754183, 343.21986950089814, 306.35230011271176, 258.2314606741573, 223.603424412666, 158.04935049839736, 156.98392201754078)"
"(175.17106370851846, 178.90129285125025, 215.28751219657613, 243.91133618338768, 287.5993506563143, 316.9068406459436, 351.70495247383633, 308.7982455862211, 257.6203264541853, 225.5646059116934, 167.0145178844846, 153.42937599554102)","(174.84590442393716, 165.89889806628867, 211.07525712373638, 238.34410006692266, 280.5248009932725, 313.3321951498715, 343.1391492022119, 306.3402073720545, 258.2974974463738, 223.53419816138916, 157.86354126307634, 157.00746195977598)"
"(175.14318741329097, 179.00682824217523, 215.30858514347378, 243.956507901258, 287.6347184050374, 316.86144301222987, 351.756189235941, 308.90363514058845, 257.5838817170127, 225.67330321339205, 167.13806935759393, 153.47531592627462)","(174.83848886971222, 165.70421418759474, 210.96157805290406, 238.28118136029028, 280.4711463139727, 313.3065834243247, 343.05842890352574, 306.3281146313973, 258.3635342185904, 223.46497191011235, 157.67773202775527, 157.0310019020112)"
"(175.11568546893608, 179.1118523806668, 215.3306928049221, 244.00210871456835, 287.6709793384222, 316.8189118573238, 351.8036717168842, 309.0088830605646, 257.54715261256797, 225.7829402588945, 167.2609198409597, 153.51795351967738)","(174.8310733154873, 165.50953030890076, 210.84789898207177, 238.21826265365792, 280.41749163467296, 313.2809716987778, 342.97770860483956, 306.31602189074, 258.42957099080695, 223.39574565883555, 157.4919227924342, 157.05454184424644)"
"(175.08869342194615, 179.2157609728903, 215.35357734200846, 244.04774382166286, 287.70779551265286, 316.77926664912314, 351.8474472728437, 309.1132757794325, 257.51043666737525, 225.89250549290398, 167.38227738021203, 153.5573816114961)","(174.82365776126238, 165.31484643020684, 210.73421991123945, 238.15534394702553, 280.36383695537313, 313.255359973231, 342.89698830615333, 306.30392915008275, 258.4956077630235, 223.32651940755872, 157.30611355711318, 157.07808178648165)"
"(175.0623354115309, 179.317993393996, 215.37698995963973, 244.09305150150715, 287.74484610936247, 316.74249185859657, 351.88759618561954, 309.2161607301727, 257.47401196287035, 226.00108493858312, 167.50142732648038, 153.59371337550948)","(174.81624220703745, 165.12016255151286, 210.62054084040716, 238.09242524039314, 280.31018227607336, 313.22974824768414, 342.8162680074671, 306.2918364094255, 258.56164453524, 223.25729315628192, 157.1203043217921, 157.10162172871685)"
"(175.03672314886794, 179.4180374898905, 215.40069413156786, 244.13770498748366, 287.78183078982875, 316.70854140344767, 351.9242271174627, 309.3169498042337, 257.43813396079054, 226.10786470880993, 167.6177344922515, 153.6270782220931)","(174.8088266528125, 164.92547867281888, 210.50686176957484, 238.02950653376075, 280.2565275967736, 313.20413652213733, 342.7355477087809, 306.2797436687683, 258.62768130745656, 223.1880669050051, 156.93449508647103, 157.12516167095208)"
"(175.01195516723993, 179.51543324109434, 215.42446831825052, 244.18141364887347, 287.8184724347295, 316.6773430674544, 351.957472640584, 309.41512158500694, 257.4030330964069, 226.21213177662955, 167.73064401667156, 153.65761798122674)","(174.80141109858758, 164.73079479412496, 210.39318269874255, 237.96658782712836, 280.2028729174738, 313.1785247965905, 342.65482741009475, 306.26765092811104, 258.6937180796731, 223.11884065372828, 156.74868585115001, 157.14870161318728)"
"(174.98811634079144, 179.60977530084728, 215.44810816196946, 244.22392351403929, 287.85451926185374, 316.6488028131513, 351.9874849033502, 309.51022240883884, 257.3689131143222, 226.31327314943582, 167.8396810308933, 153.68548340533295)","(174.79399554436264, 164.53611091543098, 210.27950362791023, 237.90366912049598, 280.14921823817406, 313.1529130710437, 342.5741071114085, 306.25555818745374, 258.7597548518896, 223.04961440245148, 156.56287661582894, 157.1722415554225)"
"(174.96527766339736, 179.7007144442642, 215.47142815862, 244.26501718078305, 287.8897463295708, 316.6228089175061, 352.0144314873416, 309.6018663265399, 257.33595010578887, 226.41077361034485, 167.94444922877233, 153.71083101521106)","(174.7865799901377, 164.34142703673706, 210.16582455707794, 237.8407504138636, 280.09556355887423, 313.12730134549685, 342.4933868127223, 306.2434654467965, 258.8257916241062, 222.98038815117465, 156.37706738050792, 157.19578149765772)"
"(174.94349627357923, 179.7879579869361, 215.49426281902038, 244.30451316868945, 287.92395644769977, 316.5992358725644, 352.0384915012052, 309.68973405518614, 257.3042921935437, 226.50421220376754, 168.04462845961072, 153.73382030126805)","(174.77916443591278, 164.14674315804308, 210.05214548624562, 237.7778317072312, 280.04190887957446, 313.10168961995004, 342.4126665140361, 306.23137270613927, 258.89182839632275, 222.91116189989785, 156.19125814518685, 157.21932143989295)"
"(174.92281570665492, 179.87126924958926, 215.51646734423176, 244.34226477541947, 287.9569805294386, 316.5779480053285, 352.05985194879156, 309.77357102337396, 257.27405980009104, 226.59325765049124, 168.13997146773113, 153.75461128243384)","(174.77174888168787, 163.95205927934916, 209.93846641541333, 237.7149130005988, 279.9882542002747, 313.0760778944032, 342.33194621534994, 306.21927996548203, 258.95786516853934, 222.84193564862105, 156.00544890986578, 157.24286138212815)"
"(174.90326635144402, 179.95046616007076, 215.5379178490728, 244.37815850389578, 287.9886774280265, 316.5588027830676, 352.07870440060793, 309.8531846229254, 257.2453464281719, 226.67766288092153, 168.23029990853155, 153.77336241669119)","(174.76433332746294, 163.75737540065518, 209.824787344581, 237.65199429396645, 279.9345995209749, 313.05046616885636, 342.2512259166637, 306.20718722482474, 259.0239019407559, 222.77270939734422, 155.81963967454476, 157.26640132436336)"
"(174.8848660859161, 180.02541909494934, 215.558511175684, 244.41211213019363, 288.0189333097237, 316.5416537815487, 352.09524198934315, 309.928440786401, 257.21821987772313, 226.7572588738965, 168.31549977246976, 153.79022885010406)","(174.756917773238, 163.56269152196126, 209.7111082737487, 237.58907558733407, 279.88094484167516, 313.02485444330955, 342.1705056179775, 306.1950944841675, 259.0899387129724, 222.7034831460674, 155.6338304392237, 157.2899412665986)"
"(174.86762106417336, 180.09604807045272, 215.5781643446423, 244.44407248284512, 288.0476606204875, 316.52635330409134, 352.10965674228856, 309.9992600127903, 257.1927238217691, 226.83194798314585, 168.39551634737398, 153.80536098559242)","(174.74950221901307, 163.36800764326728, 209.5974292029164, 237.52615688070168, 279.82729016237533, 312.99924271776274, 342.0897853192913, 306.18300174351026, 259.15597548518895, 222.6342568947906, 155.4480212039026, 157.3134812088338)"
"(174.85152662607632, 180.16231939645425, 215.59681369481677, 244.47401300335662, 288.0747967074304, 316.5127546487203, 352.12213725603556, 310.0656129636556, 257.1688796641531, 226.90169692457064, 168.47034884584082, 153.81890334842652)","(174.74208666478813, 163.17332376457335, 209.48375013208408, 237.46323817406932, 279.7736354830756, 312.9736309922159, 342.00906502060514, 306.170909002853, 259.2220122574055, 222.56503064351378, 155.2622119685816, 157.337021151069)"
"(174.83656830059948, 180.22424190800385, 215.6144137650046, 244.50193115523518, 288.10030215789067, 316.5007140288838, 352.13286671200456, 310.12751574907907, 257.146688604504, 226.96652958564616, 168.54004481856995, 153.83099372241517)","(174.7346711105632, 162.97863988587937, 209.3700710612518, 237.40031946743693, 279.7199808037758, 312.94801926666906, 341.9283447219189, 306.1588162621957, 259.288049029622, 222.49580439223698, 155.07640273326052, 157.36056109330423)"
"(174.82272287456863, 180.28186288677892, 215.63093597056442, 244.52784574495527, 288.1241589188689, 316.4900921601524, 352.1420212252471, 310.1850250173646, 257.1261338400333, 227.0265198040183, 168.60469446663447, 153.84176252892715)","(174.72725555633826, 162.78395600718545, 209.25639199041947, 237.33740076080454, 279.66632612447603, 312.92240754112225, 341.8476244232327, 306.1467235215385, 259.35408580183855, 222.42657814096015, 154.8905934979395, 157.38410103553946)"
"(174.8099594996845, 180.3352637801668, 215.64636712696762, 244.55179421332255, 288.146368257893, 316.480755530993, 352.1497685136312, 310.2382329549509, 257.1071828393191, 227.08178424637538, 168.664424956254, 153.85133242007743)","(174.71984000211336, 162.58927212849147, 209.14271291958718, 237.27448205417215, 279.61267144517626, 312.8967958155754, 341.7669041245465, 306.13463078088125, 259.42012257405514, 222.35735188968334, 154.70478426261843, 157.40764097777466)"
"(174.7982408125762, 180.38455581887808, 215.6607078696397, 244.57382994986102, 288.16694862328984, 316.4725773801313, 352.15626687002475, 310.2872622938047, 257.08978962982604, 227.1324755015276, 168.7193948289873, 153.85981805748395)","(174.71242444788842, 162.39458824979755, 209.02903384875486, 237.21156334753977, 279.5590167658765, 312.8711840900286, 341.6861838258603, 306.122538040224, 259.4861593462717, 222.28812563840654, 154.51897502729736, 157.43118092000987)"
