SVM,REG
"(142.9792547245148, 163.66848725728235, 204.78650050567117, 234.19293553309336, 278.3640302952025, 294.33605661188557, 332.4045310102664, 285.20924243978436, 216.85446842259407, 169.7023903425185, 115.01142361358995, 107.15935382461294)","(144.40688950723822, 153.3000906977564, 207.06903596210066, 230.84145503856854, 277.3293693423973, 292.41682663520135, 325.0507775351344, 281.15235021661795, 210.83758937691525, 154.83660755168887, 93.03363301750562, 104.75401095417561)"
"(142.93329117092998, 163.68390830984126, 204.7756194394102, 234.12466523115185, 278.1770592220096, 294.3213731717039, 332.43319087870344, 285.28414629516567, 216.89434862288627, 169.96085132497862, 115.03534243665773, 107.1360839693834)","(144.48241520200062, 153.12971540276857, 207.06691381071465, 230.79581557535838, 277.4067750343419, 292.39092934380614, 324.9410200415625, 281.05510989398044, 210.76430030643516, 154.49513930470926, 92.69397872565253, 104.68172132013666)"
"(142.8902814364154, 163.6982922655339, 204.76167601425365, 234.04917223836478, 277.99347199737076, 294.3000256642725, 332.460170835159, 285.3523352362325, 216.93332191577585, 170.21800024458284, 115.05331122538628, 107.11198201502384)","(144.55794089676306, 152.9593401077807, 207.06479165932865, 230.7501761121482, 277.48418072628647, 292.365032052411, 324.8312625479906, 280.957869571343, 210.69101123595507, 154.15367105772953, 92.35432443379955, 104.60943168609768)"
"(142.8502734451193, 163.71166597174044, 204.74499037646535, 233.9677246706556, 277.81423073872395, 294.2728273593257, 332.48565965303516, 285.413990585653, 216.97124591489, 170.47226667356205, 115.0658355708916, 107.08720702443021)","(144.6334665915255, 152.78896481279287, 207.06266950794264, 230.70453664893802, 277.5615864182312, 292.3391347610158, 324.7215050544187, 280.86062924870555, 210.61772216547502, 153.8122028107499, 92.01467014194645, 104.53714205205873)"
"(142.81327743836826, 163.72405824950584, 204.72589273774486, 233.8815506776748, 277.64017913496156, 294.2405811230833, 332.5098165364718, 285.4693429106937, 217.00799478665627, 170.72221994442438, 115.07342975065103, 107.06192586763645)","(144.70899228628792, 152.618589517805, 207.06054735655664, 230.65889718572788, 277.63899211017576, 292.3132374696207, 324.61174756084677, 280.7633889260681, 210.54443309499493, 153.47073456377018, 91.67501585009336, 104.46485241801977)"
"(142.77926954223747, 163.7355000864785, 204.70471809818207, 233.7918249909377, 277.47204218797174, 294.2040706037343, 332.5327734127513, 285.51866449819653, 217.04345934599303, 170.96657534164206, 115.07660931233089, 107.036309577882)","(144.78451798105033, 152.44821422281717, 207.05842520517064, 230.6132577225177, 277.71639780212035, 292.2873401782255, 324.50199006727485, 280.66614860343066, 210.47114402451484, 153.12926631679056, 91.33536155824038, 104.39256278398082)"
"(142.74819552636302, 163.74602471938786, 204.6818012209962, 233.69965748281933, 277.3104276620929, 294.16405230584706, 332.55463753722756, 285.562261878309, 217.07754701471245, 171.2041978349896, 115.07588425454362, 107.01052984443757)","(144.86004367581276, 152.2778389278293, 207.05630305378463, 230.56761825930752, 277.79380349406506, 292.26144288683037, 324.3922325737029, 280.56890828079315, 210.39785495403476, 152.78779806981083, 90.99570726638729, 104.32027314994187)"
"(142.7199746713349, 163.75566761324785, 204.65747194345124, 233.60608377590867, 277.15582907883186, 294.1212486303016, 332.5754942956716, 285.6004685198373, 217.11018163500412, 171.43410346761783, 115.07175288395676, 106.98475572656163)","(144.9355693705752, 152.10746363284147, 207.05418090239863, 230.52197879609736, 277.87120918600965, 292.2355455954352, 324.282475080131, 280.47166795815576, 210.32456588355467, 152.44632982283122, 90.6560529745343, 104.24798351590292)"
"(142.69450366647257, 163.76446634728654, 204.63205089545013, 233.51205789617387, 277.00863007772887, 294.07634193298827, 332.5954100999414, 285.63363780760034, 217.14130313487993, 171.65545854779538, 115.06469640682637, 106.95915065830111)","(145.0110950653376, 151.9370883378536, 207.05205875101262, 230.47633933288716, 277.9486148779543, 292.20964830404006, 324.17271758655914, 280.37442763551826, 210.25127681307458, 152.1048615758515, 90.31639868268121, 104.17569388186396)"
"(142.67166046570995, 163.77246041972805, 204.60584568327917, 233.418446921377, 276.8691099529613, 294.0299696321087, 332.61443528531544, 285.6621363980242, 217.1708670469407, 171.86757682354872, 115.05517429201919, 106.93386979852194)","(145.08662076010003, 151.76671304286577, 207.04993659962662, 230.430699869677, 278.02602056989895, 292.18375101264485, 324.0629600929872, 280.2771873128808, 210.17798774259452, 151.76339332887187, 89.97674439082812, 104.10340424782501)"
"(142.65130803645044, 163.7796909850032, 204.57914758130656, 233.32602753894318, 276.7374501690386, 293.98272037110615, 332.63260693111965, 285.68633803391964, 217.19884388609734, 172.0699148438279, 115.04362042247732, 106.90905776513513)","(145.16214645486247, 151.5963377478779, 207.04781444824062, 230.38506040646683, 278.10342626184354, 292.1578537212497, 323.95320259941536, 280.17994699024337, 210.10469867211444, 151.42192508189214, 89.63709009897514, 104.03111461378603)"
"(142.63329794431561, 163.78620053776953, 204.55222875963267, 233.2354843955727, 276.6137416574852, 293.93513122264415, 332.64995153993294, 285.70661788340334, 217.22521839578806, 172.26206572814118, 115.03044003335185, 106.88484677749223)","(145.23767214962487, 151.42596245289008, 207.0456922968546, 230.33942094325664, 278.1808319537882, 292.13195642985454, 323.84344510584344, 280.0827066676059, 210.03140960163435, 151.08045683491252, 89.29743580712204, 103.95882497974708)"
"(142.61747372541953, 163.7920325583366, 204.52534006120138, 233.14741009463674, 276.4979926993847, 293.88768589917396, 332.66648752421884, 285.7233474517322, 217.24998867565563, 172.44375157883007, 115.01600741807972, 106.86135521680474)","(145.3131978443873, 151.2555871579022, 207.0435701454686, 230.2937814800465, 278.25823764573283, 292.1060591384594, 323.7336876122715, 279.9854663449685, 209.95812053115426, 150.7389885879328, 88.95778151526895, 103.88653534570813)"
"(142.60367400687124, 163.79723113378418, 204.49870932813243, 233.06230667696934, 276.39013720559313, 293.8408139179147, 332.6822274623184, 285.7368900988549, 217.2731652064863, 172.61481477645404, 115.00066436880567, 106.83868660156516)","(145.38872353914974, 151.08521186291438, 207.0414479940826, 230.2481420168363, 278.3356433376774, 292.08016184706423, 323.6239301186996, 279.88822602233097, 209.88483146067418, 150.39752034095318, 88.61812722341597, 103.81424571166917)"
"(142.59173534536643, 163.8018405683039, 204.4725402643748, 232.98058840604673, 276.2900432168195, 293.7948906528593, 332.69718009802074, 285.7475971801482, 217.2947697904054, 172.77520839941997, 114.98471930496703, 106.81692896358977)","(145.46424923391217, 150.9148365679265, 207.0393258426966, 230.20250255362612, 278.4130490296221, 292.0542645556691, 323.5141726251277, 279.7909856996936, 209.8115423901941, 150.05605209397345, 88.27847293156287, 103.74195607763022)"
"(142.58149476272644, 163.80590499517737, 204.4470118105078, 232.9025856695401, 276.19752145903215, 293.7502381939473, 332.71135206915693, 285.7558048134491, 217.31483442583814, 172.92498600445558, 114.9684470336826, 106.79615460066556)","(145.53977492867457, 150.74446127293868, 207.0372036913106, 230.15686309041598, 278.4904547215667, 292.0283672642739, 323.40441513155577, 279.6937453770561, 209.73825331971403, 149.71458384699372, 87.9388186397099, 103.66966644359127)"
"(142.57279196585142, 163.80946800140674, 204.42227799684326, 232.82854980552187, 276.1123338051939, 293.7071269239458, 332.72474936064623, 285.76183126240306, 217.33340013757677, 173.0642909953208, 114.95208907784979, 106.77642017397446)","(145.615300623437, 150.5740859779508, 207.03508153992462, 230.1112236272058, 278.5678604135113, 292.00246997287877, 323.29465763798385, 279.5965050544186, 209.66496424923395, 149.3731156000141, 87.5991643478568, 103.59737680955232)"
"(142.5654712465811, 163.81257227442435, 204.39846823306013, 232.7586586627562, 276.03420151155666, 293.6657777168846, 332.7373784860435, 285.7659749145594, 217.3505157824687, 173.19334579389152, 114.93585450251435, 106.75776711252743)","(145.69082631819944, 150.40371068296298, 207.03295938853861, 230.06558416399562, 278.64526610545596, 291.9765726814836, 323.184900144412, 279.4992647317812, 209.59167517875386, 149.03164735303437, 87.2595100560037, 103.52508717551336)"
"(142.55938306424412, 163.8152592786044, 204.37568798650426, 232.6930227099769, 275.9628131150632, 293.6263646580451, 332.7492474088296, 285.76851282271735, 217.36623685080153, 173.31244101111074, 114.91992116701933, 106.74022228273171)","(145.76635201296185, 150.23333538797516, 207.0308372371526, 230.01994470078546, 278.7226717974006, 291.95067539008846, 323.07514265084006, 279.40202440914373, 209.51838610827377, 148.69017910605476, 86.91985576415073, 103.45279754147438)"
"(142.55438532010504, 163.8175689675556, 204.3540197970206, 232.63169151825406, 275.8978318972622, 293.58901818435487, 332.7603662204432, 285.7696997698563, 217.38062428247375, 173.42192479598435, 114.90443732949817, 106.72379887884861)","(145.84187770772428, 150.06296009298728, 207.0287150857666, 229.97430523757527, 278.8000774893452, 291.92477809869325, 322.9653851572682, 279.3047840865063, 209.4450970377937, 148.34871085907503, 86.58020147229763, 103.38050790743543)"
"(142.55034433840407, 163.8195395364547, 204.33352457369864, 232.57466045282692, 275.8389028390135, 293.5538285453893, 332.7707475964164, 285.7697678116195, 217.39374331558383, 173.52219251952107, 114.88952353123523, 106.70849748933254)","(145.9174034024867, 149.89258479799946, 207.0265929343806, 229.9286657743651, 278.87748318128985, 291.8988808072981, 322.8556276636963, 279.2075437638688, 209.3718079673136, 148.0072426120954, 86.24054718044454, 103.30821827339648)"
