SVM,REG
"(163.01487576540663, 161.3616909106092, 218.16657330684964, 238.09414283635894, 286.07079852544285, 286.5306129338103, 284.6132018813829, 266.72511905277986, 248.01101853934207, 246.8538223631805, 187.96379289277266, 151.41136064657258)","(148.71443855447149, 167.38890405410166, 210.3579083160156, 225.30928375189308, 270.59622327498147, 303.62170230002465, 335.22326617590056, 316.89648568208236, 256.2403270402592, 244.43597883131977, 174.21374291148607, 168.37485470747777)"
"(163.03610610422024, 161.37389186780905, 218.1035357038118, 238.16474331218777, 286.22954729666935, 286.5181991576462, 284.3530212864599, 266.65344093332203, 247.97384155127688, 247.0001216247696, 188.11170581332843, 151.31693455975676)","(148.53861699130005, 167.43624740234583, 210.25592617378743, 225.02105861012285, 270.3988587932795, 303.9151579725969, 336.2598138494593, 317.8052639921102, 256.4926869430453, 244.43255345003695, 173.95787837695048, 168.6566121306048)"
"(163.05245949442389, 161.39102949700091, 218.03589373865057, 238.2239284476767, 286.38058423472114, 286.5051732555164, 284.09639223388524, 266.5833900985157, 247.9292012392569, 247.1451470137309, 188.25956994350972, 151.23129567203978)","(148.3627954281286, 167.48359075059, 210.15394403155926, 224.7328334683525, 270.20149431157756, 304.20861364516924, 337.2963615230176, 318.71404230213807, 256.74504684583144, 244.42912806875415, 173.70201384241489, 168.93836955373183)"
"(163.06423848913687, 161.41255545555592, 217.96440864031558, 238.27250281776168, 286.52356780565134, 286.4916661957442, 283.84449288019863, 266.5149221861975, 247.87801307831197, 247.28796614978103, 188.40640604963983, 151.15416957152777)","(148.18697386495717, 167.53093409883414, 210.0519618893311, 224.44460832658228, 270.0041298298756, 304.5020693177415, 338.33290919657634, 319.6228206121659, 256.99740674861755, 244.42570268747136, 173.4461493078793, 169.22012697685898)"
"(163.07177570309793, 161.43790454748222, 217.88984115762455, 238.3113048664362, 286.65826703145603, 286.47780631031986, 283.59839962808394, 266.4480306449816, 247.82120794195512, 247.42775020835157, 188.55131189703343, 151.08522323477928)","(148.01115230178573, 167.5782774470783, 209.9499797471029, 224.15638318481206, 269.80676534817366, 304.7955249903138, 339.3694568701346, 320.5315989221938, 257.24976665140355, 244.42227730618856, 173.1902847733437, 169.501884399986)"
"(163.07542621835665, 161.46650607836477, 217.8129408057899, 238.3411919007175, 286.7845540627959, 286.4637174554456, 283.35908017844747, 266.3827407638703, 247.75971630296047, 247.56377396533117, 188.6934677025524, 151.02407429034758)","(147.83533073861435, 167.62562079532245, 209.84799760487473, 223.86815804304172, 269.60940086647173, 305.08898066288606, 340.40600454369337, 321.4403772322214, 257.50212655418966, 244.41885192490577, 172.93442023880812, 169.78364182311304)"
"(163.07556022248025, 161.4977942044326, 217.73443595756183, 238.36302631036025, 286.90239591485505, 286.44951745700894, 283.1273886007159, 266.3191035435821, 247.69445379173342, 247.69541454801913, 188.83214005756042, 150.97030026847398)","(147.6595091754429, 167.67296414356662, 209.74601546264657, 223.5799329012715, 269.41203638476975, 305.3824363354584, 341.44255221725166, 322.34915554224926, 257.75448645697577, 244.41542654362297, 172.67855570427253, 170.06539924624008)"
"(163.07255601502973, 161.53121714897287, 217.65502493327736, 238.37766313954057, 287.01184558069497, 286.4353168355544, 282.9040623833659, 266.2571895906182, 247.62630828738136, 247.8221490037408, 188.96668434198133, 150.92344767297294)","(147.48368761227147, 167.7203074918108, 209.6440333204184, 223.29170775950115, 269.2146719030678, 305.67589200803064, 342.4790998908104, 323.2579338522771, 258.0068463597619, 244.41200116234015, 172.42269116973694, 170.3471566693671)"
"(163.06679349723757, 161.56624519973022, 217.57536820915618, 238.3859390972473, 287.1130327304781, 286.42121780069334, 282.6897213884782, 266.19708319495214, 247.55612866685598, 247.94355081001072, 189.09654568122494, 150.8830407270876)","(147.30786604910003, 167.76765084005496, 209.54205117819023, 223.00348261773092, 269.01730742136584, 305.969347680603, 343.51564756436915, 324.166712162305, 258.259206262548, 244.40857578105735, 172.16682663520135, 170.62891409249414)"
"(163.05864823781488, 161.6023774395073, 217.4960818275207, 238.38866305546173, 287.2061541948206, 286.4073135010529, 282.48486860019773, 266.1388767296129, 247.48471528894032, 248.0592854594766, 189.22125852557227, 150.84858966326658)","(147.1320444859286, 167.81499418829912, 209.44006903596207, 222.71525747596058, 268.8199429396639, 306.26280335317523, 344.55219523792744, 325.07549047233283, 258.5115661653341, 244.40515039977456, 171.91096210066576, 170.91067151562117)"
"(163.04848618537991, 161.63914719798828, 217.41773205738585, 238.38660804913107, 287.2914644168675, 286.39368751277954, 282.2898925279617, 266.0826654862646, 247.412812243636, 248.16910525907642, 189.34044495562873, 150.81959844676052)","(146.9562229227572, 167.8623375365433, 209.33808689373387, 222.42703233419036, 268.622578457962, 306.5562590257476, 345.5887429114862, 325.9842687823607, 258.7639260681202, 244.40172501849176, 171.65509756613017, 171.1924289387482)"
"(163.0366590758272, 161.67612624510386, 217.34083132009462, 238.38050476005583, 287.3692660410925, 286.38041354725556, 282.10507110163627, 266.028543036058, 247.34110135473014, 248.2728434859172, 189.45381183723683, 150.79557184398286)","(146.78040135958577, 167.90968088478743, 209.2361047515057, 222.13880719242002, 268.42521397626, 306.8497146983198, 346.62529058504447, 326.89304709238854, 259.0162859709062, 244.39829963720896, 171.39923303159458, 171.47418636187535)"
"(163.02350056167043, 161.71292777448295, 217.26583536326783, 238.37103643859191, 287.43990078798095, 286.3675553569951, 281.93057687751605, 265.976597180361, 247.2701978848546, 248.3704080424451, 189.56114696453847, 150.7760217680705)","(146.60457979641433, 167.9570242330316, 209.13412260927754, 221.8505820506498, 268.2278494945581, 307.14317037089216, 347.6618382586032, 327.80182540241617, 259.2686458736923, 244.39487425592614, 171.143368497059, 171.7559437850024)"
"(163.00932307052167, 161.74920824932505, 217.19314163803392, 238.35883519283325, 287.5037407433219, 286.35516681761794, 281.76648336153306, 265.92690653219995, 247.20064785884983, 248.46177475071056, 189.66231434059335, 150.76047285538934)","(146.4287582332429, 168.00436758127574, 209.03214046704937, 221.56235690887945, 268.0304850128561, 307.4366260434644, 348.6983859321615, 328.710603712444, 259.52100577647843, 244.39144887464334, 170.8875039625234, 172.03770120812942)"
"(162.9944153818526, 161.7846682021918, 217.12308880988252, 238.34447955488395, 287.56118016948005, 286.3432921632801, 281.6127722488962, 265.8795377469885, 247.13292689315477, 248.54698042018467, 189.75724875115753, 150.74846724729218)","(146.25293667007145, 168.0517109295199, 208.9301583248212, 221.27413176710922, 267.8331205311542, 307.73008171603675, 349.73493360572024, 329.6193820224719, 259.77336567926454, 244.38802349336055, 170.6316394279878, 172.31945863125645)"
"(162.9790408953472, 161.81905209472657, 217.05595731294244, 238.3284932179997, 287.6126279243614, 286.33196635291847, 281.4693413774746, 265.8345434008934, 247.06744039650877, 248.62611581595755, 189.84594978909848, 150.739568570755)","(146.07711510690007, 168.09905427776408, 208.82817618259304, 220.98590662533888, 267.63575604945225, 308.023537388609, 350.77148127927853, 330.52816033249974, 260.02572558205065, 244.38459811207775, 170.37577489345222, 172.60121605438349)"
"(162.96343655073022, 161.85214735329606, 216.99197084125322, 238.31134482671814, 287.6585005524071, 286.3212155450696, 281.33601319517084, 265.7919604973824, 247.00452499051224, 248.69931864459284, 189.92847548478682, 150.73336512916973)","(145.90129354372863, 168.14639762600825, 208.72619404036487, 220.69768148356866, 267.4383915677503, 308.31699306118134, 351.8080289528373, 331.4369386425276, 260.27808548483677, 244.38117273079496, 170.11991035891663, 172.88297347751052)"
"(162.947812348064, 161.88378270225562, 216.93129865874374, 238.2934486944336, 287.6992160913623, 286.31105765979106, 281.212543548806, 265.75180956737455, 246.94445098742497, 248.76676666379004, 190.0049356920717, 150.72947233023638)","(145.7254719805572, 168.19374097425242, 208.62421189813668, 220.40945634179832, 267.24102708604835, 308.61044873375357, 352.84457662639556, 332.34571695255545, 260.5304453876229, 244.37774734951213, 169.86404582438104, 173.16473090063755)"
"(162.93235140918407, 161.91382591832703, 216.87405860207082, 238.2751663189461, 287.73518861921207, 286.30150300728747, 281.0986306130939, 265.7140943161292, 246.88742575669724, 248.82867100970725, 190.07548537060305, 150.72753439132876)","(145.54965041738575, 168.24108432249656, 208.5222297559085, 220.1212312000281, 267.04366260434637, 308.9039044063259, 353.8811242999543, 333.2544952625833, 260.7828052904089, 244.37432196822934, 169.60818128984545, 173.44648832376458)"
"(162.9172105151363, 161.9421811278749, 216.82032064699217, 238.25680856599828, 287.76682354791456, 286.2925549641592, 280.99392379247945, 265.6788017605911, 246.83359781071894, 248.88526982270514, 190.1403178938481, 150.72722537376592)","(145.3738288542143, 168.28842767074073, 208.42024761368035, 219.83300605825787, 266.84629812264444, 309.19736007889816, 354.9176719735126, 334.16327357261116, 261.035165193195, 244.37089658694654, 169.35231675530986, 173.72824574689173)"
"(162.90252105105978, 161.96878576416714, 216.7701109092279, 238.23863839331747, 287.7945136546764, 286.28421067969924, 280.89803244530304, 265.64590279430917, 246.78306144361994, 248.9368222387638, 190.19965849872597, 150.7282496060427)","(145.19800729104293, 168.33577101898487, 208.31826547145218, 219.54478091648753, 266.64893364094246, 309.4908157514705, 355.95421964707134, 335.0720518826388, 261.2875250959811, 244.36747120566375, 169.09645222077427, 174.01000317001876)"
