SVM,REG
"(138.95507366916465, 155.53373483851323, 195.13768319485524, 229.20969133012818, 280.0401600644897, 308.3812490613142, 333.7046263009118, 292.08852082231994, 242.6199798382476, 210.05331411521706, 139.81761696342738, 114.67921604533596)","(142.11071501532177, 142.89121244408443, 186.28025131203555, 214.63258356521436, 264.41395327744715, 290.7694345919482, 309.2001546264661, 286.1639392765313, 241.46810697051882, 200.16463386284386, 119.06321915395722, 112.86232133422567)"
"(138.8609075615082, 155.5696510501155, 195.21392099630592, 229.30265434242907, 280.10543006953793, 308.5384423408467, 333.8443129298708, 292.2374810469335, 242.67437723352108, 210.24107619242704, 140.02112648239645, 114.82111945464817)","(142.16008426966295, 142.74609136698257, 186.11623657144872, 214.39215570075027, 264.1555651438837, 290.4578262477546, 308.78171515621136, 285.9780742136593, 241.41140211686798, 199.95193529639675, 118.65035460181036, 112.72000281779441)"
"(138.7710562335823, 155.60611473315186, 195.2886168894241, 229.38824098012904, 280.1715553158758, 308.69332129018505, 333.97388950033104, 292.3841594323184, 242.7268004907381, 210.42682162361626, 140.2176404754607, 114.95728207762316)","(142.2094535240041, 142.60097028988065, 185.9522218308619, 214.15172783628617, 263.8971770103202, 290.146217903561, 308.36327568595675, 285.79220915078724, 241.3546972632172, 199.73923672994965, 118.23749004966362, 112.57768430136315)"
"(138.68572539123548, 155.64290265392148, 195.36144635305598, 229.46657165442005, 280.2379306166838, 308.84512261510304, 334.0937337704997, 292.52764738821713, 242.77702480739745, 210.60948753351724, 140.40656896811052, 115.08740062979363)","(142.25882277834523, 142.45584921277873, 185.78820709027514, 213.91129997182207, 263.63878887675673, 289.83460955936744, 307.94483621570214, 285.6063440879152, 241.2979924095664, 199.52653816350255, 117.82462549751676, 112.43536578493189)"
"(138.60505338671763, 155.67978943010573, 195.43212274120427, 229.53782701890395, 280.30399839676033, 308.9931563157263, 334.2042582000201, 292.66715109708736, 242.82487741535132, 210.78811613058915, 140.58743271064827, 115.21125080107922)","(142.3081920326864, 142.31072813567687, 185.62419234968831, 213.67087210735804, 263.38040074319326, 289.52300121517385, 307.5263967454474, 285.42047902504316, 241.24128755591556, 199.3138395970554, 117.41176094537002, 112.29304726850063)"
"(138.52911718977253, 155.71655222724527, 195.50039765999028, 229.60224046798868, 280.36925237229, 309.1368096337026, 334.30590149730074, 292.80199117033266, 242.8702334456106, 210.96185839760682, 140.7598593738482, 115.3286819902581)","(142.35756128702758, 142.16560705857495, 185.4601776091015, 213.43044424289394, 263.1220126096298, 289.21139287098026, 307.1079572751928, 285.2346139621711, 241.18458270226478, 199.1011410306083, 116.99889639322316, 112.15072875206931)"
"(138.45793855935662, 155.75297502627947, 195.56606086197988, 229.66009044736515, 280.433240048614, 309.2755495118987, 334.39912087335466, 292.9316005847709, 242.91301153867613, 211.12997596103958, 140.9235786229174, 115.4396116110402)","(142.40693054136875, 142.02048598147303, 185.29616286851473, 213.19001637842985, 262.86362447606643, 288.8997845267867, 306.6895178049381, 285.0487488992991, 241.127877848614, 198.8884424641612, 116.5860318410763, 112.00841023563805)"
"(138.39149028577586, 155.7888523921284, 195.62893968077015, 229.71169273271676, 280.4955640949441, 309.40892363138244, 334.4843850325593, 293.05552109265585, 242.95316931755107, 211.2918412323628, 141.07841624417495, 115.54401910287987)","(142.45629979570992, 141.87536490437117, 185.1321481279279, 212.94958851396575, 262.60523634250296, 288.5881761825931, 306.27107833468347, 284.86288383642705, 241.07117299496315, 198.67574389771409, 116.17316728892956, 111.86609171920679)"
"(138.32970238809588, 155.82399269391547, 195.68889803678647, 229.75739282103717, 280.55588267402953, 309.53656011572207, 334.5621679134616, 293.1733983127093, 242.99069882807535, 211.44693594286278, 141.22428750102955, 115.64193977013912)","(142.5056690500511, 141.73024382726925, 184.96813338734108, 212.70916064950165, 262.3468482089395, 288.2765678383995, 305.85263886442885, 284.677018773555, 241.01446814131236, 198.46304533126698, 115.7603027367827, 111.72377320277553)"
"(138.27246816729476, 155.8582207474338, 195.74583505221716, 229.79755856457942, 280.61390882017594, 309.65816601370466, 334.63294317740525, 293.28497571751905, 243.02562203776446, 211.59484821719263, 141.3611898941337, 115.73345856226442)","(142.55503830439224, 141.5851227501674, 184.80411864675426, 212.46873278503756, 262.088460075376, 287.964959494206, 305.43419939417413, 284.49115371068297, 240.95776328766158, 198.25034676481982, 115.34743818463596, 111.58145468634427)"
"(138.2196500313453, 155.89137986927943, 195.79968331876725, 229.83257316112787, 280.6694089706737, 309.7735246882408, 334.697179429466, 293.3900877346918, 243.0579864704393, 211.73526834960242, 141.48919549541935, 115.81870389570663)","(142.60440755873339, 141.44000167306547, 184.6401039061675, 212.22830492057346, 261.83007194181255, 287.65335115001244, 305.0157599239195, 284.3052886478109, 240.90105843401074, 198.03764819837272, 114.9345736324891, 111.43913616991301)"
"(138.17108502383874, 155.92333334922918, 195.85040686633644, 229.86282859658428, 280.72220076366256, 309.8824922514288, 334.7553361450114, 293.4886521758481, 243.08786104005532, 211.8679834602589, 141.60844301752587, 115.89784160579498)","(142.65377681307456, 141.29488059596355, 184.47608916558067, 211.98787705610937, 261.5716838082491, 287.34174280581885, 304.5973204536648, 284.1194235849389, 240.84435358035995, 197.82494963192562, 114.52170908034236, 111.29681765348175)"
"(138.12659000256636, 155.953965362563, 195.8979988837732, 229.88871961738818, 280.77215021989866, 309.98499319357063, 334.8078602661287, 293.58066219952235, 243.11533213366894, 211.9928712174148, 141.7191297693907, 115.97106910403632)","(142.70314606741573, 141.14975951886169, 184.31207442499385, 211.74744919164527, 261.3132956746857, 287.03013446162527, 304.1788809834102, 283.93355852206685, 240.78764872670914, 197.61225106547852, 114.1088445281955, 111.1544991370505)"
"(138.08596642839203, 155.98318135686424, 195.94247924451636, 229.91063829162493, 280.81916842703447, 310.08101535756145, 334.8551834251333, 293.66617800199634, 243.14049998073375, 212.10989281455986, 141.82150363598893, 116.03860980366933)","(142.7525153217569, 141.00463844175977, 184.1480596844071, 211.50702132718118, 261.05490754112225, 286.7185261174317, 303.76044151315546, 283.7476934591948, 240.73094387305832, 197.39955249903142, 113.69597997604865, 111.01218062061923)"
"(138.04900473756948, 156.01090795822057, 195.9838918902517, 229.92896919933358, 280.8632078431817, 310.17060440979367, 334.8977197472538, 293.7453184147801, 243.16347533415455, 212.21908539039583, 141.91585520587176, 116.10070786403188)","(142.80188457609808, 140.85951736465785, 183.98404494382027, 211.26659346271708, 260.7965194075588, 286.4069177732381, 303.34200204290084, 283.56182839632277, 240.67423901940754, 197.18685393258426, 113.2831154239019, 110.86986210418797)"
"(138.01548828223846, 156.03709244964682, 196.02230212476266, 229.94408527498393, 280.90425833206825, 310.2538579549151, 334.9358641812405, 293.81825256962304, 243.18437647792217, 212.32055407395157, 142.00251015475496, 116.15762329262337)","(142.85125383043925, 140.71439628755599, 183.82003020323344, 211.026165598253, 260.5381312739953, 286.0953094290445, 302.92356257264623, 283.3759633334507, 240.61753416575672, 196.97415536613715, 112.87025087175505, 110.72754358775671)"
"(137.9851968340813, 156.06170187999578, 196.05779386805654, 229.95634430874625, 280.94234303541975, 310.33091943488137, 334.96999130488075, 293.8851917723358, 243.2033265668242, 212.41446382789937, 142.0818219774062, 116.20962743283903)","(142.9006230847804, 140.56927521045407, 183.65601546264662, 210.78573773378895, 260.27974314043183, 285.7837010848509, 302.5051231023915, 283.19009827057874, 240.5608293121059, 196.76145679969005, 112.4573863196083, 110.58522507132545)"
"(137.95790965498796, 156.0847218647336, 196.0904669177413, 229.9660860983505, 280.97751417971904, 310.40197194324503, 335.0004545520272, 293.94638170604327, 243.22045129573988, 212.5010312507347, 142.15416514390338, 116.25699885535113)","(142.94999233912154, 140.42415413335215, 183.49200072205986, 210.54530986932485, 260.02135500686836, 285.47209274065733, 302.0866836321369, 283.0042332077067, 240.50412445845512, 196.54875823324295, 112.04452176746145, 110.4429065548942)"
"(137.93340814606742, 156.10615514091717, 196.12043426067913, 229.97363023027694, 281.0098489046472, 310.4672320740201, 335.02758580855044, 294.0020950634337, 243.23587688938423, 212.5805164835493, 142.2199287403673, 116.30001966210506)","(142.9993615934627, 140.27903305625028, 183.32798598147303, 210.30488200486076, 259.762966873305, 285.16048439646374, 301.66824416188217, 282.81836814483466, 240.4474196048043, 196.33605966679585, 111.6316572153147, 110.30058803846293)"
"(137.9114780924859, 156.12601993775226, 196.14781947332168, 229.97927445789853, 281.03944518970957, 310.52694391128466, 335.0516953264068, 294.05262468671515, 243.24972839803482, 212.65321535030063, 142.27951063885308, 116.3389722039344)","(143.04873084780388, 140.13391197914837, 183.1639712408862, 210.06445414039666, 259.50457873974153, 284.84887605227016, 301.24980469162756, 282.6325030819626, 240.3907147511535, 196.1233611003487, 111.21879266316785, 110.15826952203167)"
"(137.89191152647285, 156.14434822150733, 196.1727542440236, 229.98329363510538, 281.06641794419545, 310.5813732514298, 335.0730719075608, 294.09827727385397, 243.26212828068407, 212.71945184238493, 142.33331222649912, 116.37413620590195)","(143.09810010214505, 139.9887909020465, 182.99995650029945, 209.82402627593257, 259.24619060617806, 284.53726770807657, 300.83136522137295, 282.4466380190906, 240.3340098975027, 195.9106625339016, 110.8059281110211, 110.01595100560041)"
