SVM,REG
"(162.51457944348155, 184.3369785326477, 247.7401441107299, 299.416030520785, 327.34507676197836, 339.94206983173325, 360.3322639718273, 333.5479596179389, 291.6060467109935, 257.457119407967, 193.4123073898097, 160.76617088967413)","(172.031580342362, 201.7689941354655, 272.885310133493, 312.9608936810961, 351.74644817019475, 347.94943908280794, 380.191702740305, 350.2104084921277, 303.4735946250572, 257.06563215455606, 183.97799135289347, 152.63473583177768)"
"(162.54612111251626, 184.33321482063988, 247.62004952533877, 299.10710877909554, 327.0904228831466, 339.78591216158105, 360.0521337021724, 333.331247764427, 291.49798323236195, 257.3452182662883, 193.52302165171318, 160.78145249411034)","(172.10622468387868, 202.04551151773455, 273.33264643725124, 313.4509905427776, 352.2779298016976, 348.1372830298334, 380.6074933077384, 350.56131485329854, 303.70492841041175, 257.1060741960481, 183.73532492691345, 152.42561709696736)"
"(162.58320023018393, 184.3317495975265, 247.50059814899544, 298.80654855169877, 326.8423716517855, 339.6302080262818, 359.7777206195168, 333.11645636953625, 291.3914001762881, 257.2372086658909, 193.63190003224878, 160.80134391936477)","(172.18086902539537, 202.3220289000036, 273.77998274100946, 313.94108740445915, 352.8094114332007, 348.3251269768589, 381.0232838751717, 350.91222121446935, 303.9362621957663, 257.1465162375401, 183.49265850093337, 152.21649836215698)"
"(162.62489169673773, 184.33217870261345, 247.38243343084056, 298.51541031962, 326.601929275136, 339.47602161699615, 359.5103272065168, 332.90473262075807, 291.28677467832176, 257.1333540389641, 193.73853001817858, 160.82535176984376)","(172.25551336691203, 202.59854628227254, 274.2273190447677, 314.4311842661407, 353.34089306470355, 348.5129709238843, 381.43907444260503, 351.26312757564017, 304.16759598112077, 257.1869582790321, 183.2499920749533, 152.00737962734667)"
"(162.6703050790612, 184.33413128645049, 247.2661484032443, 298.23460017894024, 326.3699583146531, 339.32432115089006, 359.2510946376598, 332.6971289498064, 291.184545935688, 257.03386767969414, 193.8425334275113, 160.85296471635436)","(172.33015770842871, 202.87506366454159, 274.6746553485259, 314.9212811278221, 353.8723746962064, 348.70081487090977, 381.85486501003845, 351.614033936811, 304.3989297664753, 257.2274003205241, 183.00732564897322, 151.79826089253635)"
"(162.71859417045678, 184.33727141622646, 247.15228267536207, 297.96487259357906, 326.1471793968184, 339.17597420893935, 359.0010019357235, 332.49459630361366, 291.08511174875844, 256.9389147908905, 193.94356870637668, 160.88366345547067)","(172.4048020499454, 203.15158104681063, 275.1219916522841, 315.41137798950365, 354.4038563277095, 348.88865881793527, 382.27065557747176, 351.9649402979818, 304.6302635518298, 257.26784236201615, 182.76465922299315, 151.58914215772603)"
"(162.76896489867994, 184.34129883870722, 247.04132023987935, 297.7068347090043, 325.93417467214897, 339.031744936702, 358.7608674605598, 332.29797931286225, 290.9888258627895, 256.84861481988287, 194.04133271345128, 160.91692986640305)","(172.47944639146206, 203.42809842907968, 275.56932795604234, 315.9014748511852, 354.93533795921235, 349.0765027649607, 382.68644614490506, 352.3158466591525, 304.8615973371843, 257.3082844035082, 182.52199279701313, 151.3800234229157)"
"(162.82068158233662, 184.34594898209787, 246.93368808783012, 297.46095206213914, 325.73139283857955, 338.8922930198324, 358.53135253107496, 332.10801333209827, 290.89599612197685, 256.7630440485763, 194.13556196812698, 160.95225526239807)","(172.55409073297875, 203.70461581134873, 276.0166642598007, 316.3915717128667, 355.46681959071543, 349.2643467119862, 383.1022367123385, 352.6667530203233, 305.09293112253886, 257.34872644500024, 182.27932637103305, 151.1709046881054)"
"(162.87307157245326, 184.35099228711425, 246.8297556124683, 297.2275555120595, 325.5391555306729, 338.75817431565963, 358.3129669554179, 331.9253232868681, 290.8068834281845, 256.6822384009133, 194.22603335173312, 160.98914766240762)","(172.62873507449544, 203.98113319361778, 276.4640005635589, 316.88166857454826, 355.9983012222183, 349.45219065901165, 383.5180272797718, 353.0176593814941, 305.32426490789334, 257.3891684864922, 182.03665994505297, 150.96178595329502)"
"(162.92552834833066, 184.35623296311556, 246.7298347700467, 297.00684920892206, 325.3576648664117, 338.6298429967938, 358.10607622520934, 331.7504242288781, 290.72170147847856, 256.6061964295824, 194.3125642640378, 161.02713803661078)","(172.7033794160121, 204.25765057588671, 276.9113368673171, 317.3717654362298, 356.52978285372114, 349.64003460603715, 383.9338178472051, 353.36856574266494, 305.5555986932479, 257.42961052798427, 181.7939935190729, 150.7526672184847)"
"(162.9775131642401, 184.36150726757924, 246.6341809533382, 296.7989194149273, 325.1870119385382, 338.50765504276023, 357.9109101171602, 331.5837234705529, 290.64061723927415, 256.534882442749, 194.39501224957266, 161.0657855057328)","(172.77802375752879, 204.53416795815576, 277.35867317107534, 317.86186229791133, 357.0612644852242, 349.8278785530626, 384.3496084146385, 353.71947210383576, 305.78693247860235, 257.47005256947625, 181.55132709309282, 150.54354848367439)"
