,population_us_asian,cpi_us,co2(ppm),oil_price,sunlight_svm,food_consumption_us(kcal),productions
max,25337026.40000001,298.012,420.99,702.2907433,421.5,4200.0,2829103.2
min,111193.88333333332,8.664285714285729,211.4878804076125,3.83629,35.0,3007.102824788475,3713.039999999572
