,population_us_asian,cpi_us,co2(ppm),oil_price,sunlight_svm,food_consumption_us(kcal),productions
max,25337026.40000001,298.012,420.99,702.2907433,409.0,4200.0,5246929.74
min,111193.88333333332,8.664285714285729,211.4878804076125,3.83629,61.0,3007.102824788475,18189.05384285713
